;Paris;;;;Métropole du Grand Paris;;;
;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand;Industrie;Construction;Tertiaire marchand hors interim;Tertiaire non marchand
2011-T1;100;100;100;100;100,0;100,0;100,0;100,0
2011-T2;100,4;98,6;100,3;100,1;99,8;100,0;100,4;100,0
2011-T3;99,2;98,5;100,2;99,9;99,1;99,8;100,4;100,1
2011-T4;98,3;99;100,6;99,6;98,7;101,0;101,0;99,8
2012-T1;99,5;99,7;100,6;99,7;98,8;101,9;101,5;100,1
2012-T2;99,3;98,7;100,9;99,4;98,8;101,9;102,0;99,9
2012-T3;99,6;98,9;100,3;99,2;98,7;102,4;102,5;99,9
2012-T4;99,5;98,7;100,4;98,7;99,1;102,8;103,2;99,7
2013-T1;99,5;97,1;100,1;99,1;99,2;102,8;103,1;99,7
2013-T2;99;96,4;99,7;99,3;98,7;102,9;103,1;100,1
2013-T3;98,2;95,9;100,3;98,2;97,6;102,9;103,5;99,7
2013-T4;98,2;95,5;100,5;99,6;97,1;103,7;103,3;100,8
2014-T1;98;95,9;101;99,6;97,0;104,0;103,4;101,1
2014-T2;97,2;95,6;101;99,3;96,3;103,6;103,8;101,0
2014-T3;97,6;94,3;101,4;99,5;96,2;103,2;103,1;101,1
2014-T4;96,8;92,5;101,6;98,9;95,3;101,4;102,7;101,1
2015-T1;95,5;91;101,8;98,3;95,0;100,9;103,7;100,9
2015-T2;94,9;90,1;102,2;98,4;94,8;100,6;103,7;101,2
2015-T3;94;88,4;102,5;98,4;94,2;99,2;104,1;101,2
2015-T4;93,5;89;102,5;98,9;93,6;98,9;104,5;101,6
2016-T1;93,6;87,6;102,8;99,5;93,1;98,2;104,5;102,2
2016-T2;93,1;86,9;102,9;99,6;92,4;97,7;104,0;102,3
2016-T3;93;86,1;103,1;99,9;92,2;97,8;104,1;102,5
2016-T4;92,3;85,5;103,4;100;91,6;97,7;104,4;102,7
2017-T1;92,5;86,1;104;100,2;91,6;97,8;104,4;102,9
2017-T2;91,3;86,7;104,4;100,6;91,3;98,7;104,2;103,3
2017-T3;90,3;86,2;104,6;100,4;91,1;98,6;103,4;103,1
2017-T4;86,2;87,7;105,5;100,2;90,1;99,7;103,6;103,0
2018-T1;86,2;89;105,8;100,3;89,6;100,9;103,0;102,9
2018-T2;86,7;91,8;106,1;100;89,6;102,9;102,9;102,9
2018-T3;87,2;91,8;106,4;100,1;88,9;104,0;102,4;103,1
2018-T4;87,2;94,5;107,7;99,9;89,2;105,9;102,8;103,1
2019-T1;86,6;98,5;108,3;99,8;89,7;108,7;103,2;103,1
2019-T2;86,6;102;108,9;99,6;90,1;110,9;104,2;103,3
2019-T3;86,9;103,5;110,3;99,9;90,3;112,8;104,6;103,7
2019-T4;85,3;105,3;110,5;99,6;90,5;115,2;105,0;103,7
2020-T1;84,6;104,3;108,7;99,9;90,2;114,2;103,2;103,9
2020-T2;84,4;105,7;107,4;98,4;89,6;115,1;101,8;102,3
2020-T3;83,6;109;108,4;99,6;89,5;117,4;103,0;103,9
2020-T4;82,5;109,5;106,5;100,9;89,9;118,5;101,9;104,9
2021-T1;83,1;112,3;107,2;101,4;89,9;120,4;102,2;105,4
2021-T2;83,6;112,9;109,7;101,7;90,1;120,6;103,7;105,7
2021-T3;84,9;113,7;112,1;101,4;91,1;121,0;105,1;105,6
2021-T4;85,9;113,4;112,6;101,8;90,9;120,6;105,7;105,8
2022-T1;86,2;112,3;113,8;101,7;91,0;120,5;105,7;105,7
