;Paris;Métropole du Grand Paris
2015-T1;12932;25899
2015-T2;11785;23564
2015-T3;11296;22816
2015-T4;14279;28121
2016-T1;14732;29235
2016-T2;14453;28967
2016-T3;12975;25858
2016-T4;15669;30733
2017-T1;16718;33574
2017-T2;14102;29041
2017-T3;13313;27824
2017-T4;17849;36801
2018-T1;18404;39429
2018-T2;16538;35844
2018-T3;15254;32766
2018-T4;19503;41665
2019-T1;21017;45894
2019-T2;18509;40618
2019-T3;17262;36663
2019-T4;21391;45055
2020-T1;19194;41218
2020-T2;14444;32303
2020-T3;19787;45081
2020-T4;23426;51909
2021-T1;22868;52427
2021-T2;19743;43968
2021-T3;18189;39576
2021-T4;21733;46529
