Titre;Emploi salarié privé - Hôtellerie-restauration
2011-T1;138274
2011-T2;139020
2011-T3;140131
2011-T4;140105
2012-T1;141384
2012-T2;141528
2012-T3;141358
2012-T4;144470
2013-T1;141296
2013-T2;142788
2013-T3;142539
2013-T4;143374
2014-T1;144093
2014-T2;143440
2014-T3;144131
2014-T4;146429
2015-T1;146286
2015-T2;146764
2015-T3;146510
2015-T4;147427
2016-T1;148717
2016-T2;149963
2016-T3;153521
2016-T4;151675
2017-T1;153441
2017-T2;154467
2017-T3;155795
2017-T4;156400
2018-T1;158235
2018-T2;160406
2018-T3;162428
2018-T4;161995
2019-T1;160429
2019-T2;163353
2019-T3;166668
2019-T4;164746
2020-T1;154601
2020-T2;150354
2020-T3;154790
2020-T4;143213
2021-T1;139585
2021-T2;149973
2021-T3;159172
2021-T4;159324
2022-T1;157061
